date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2005-01-15,Centre,Mfoundi,Yaoundé-Mfoundi,2613,3.86,11.52,cereals and tubers,Maize (white),67,KG,actual,Retail,XAF,147.78,0.3
2005-01-15,Centre,Mfoundi,Yaoundé-Mfoundi,2613,3.86,11.52,cereals and tubers,Maize (yellow),136,KG,actual,Retail,XAF,147.78,0.3
2005-01-15,Littoral,Wouri,Douala-Congo,2579,4.04,9.7,cereals and tubers,Maize (white),67,KG,actual,Retail,XAF,183.64,0.37
2005-01-15,Littoral,Wouri,Douala-Congo,2579,4.04,9.7,cereals and tubers,Maize (yellow),136,KG,actual,Retail,XAF,183.64,0.37
2005-01-15,Nord,Bénoué,Garoua,1593,9.3,13.4,cereals and tubers,Maize (white),67,KG,actual,Retail,XAF,127.53,0.25
2005-01-15,Nord,Bénoué,Garoua,1593,9.3,13.4,cereals and tubers,Maize (yellow),136,KG,actual,Retail,XAF,127.53,0.25
2005-01-15,Nord-Ouest,Mezam,Bamenda,2567,5.96,10.15,cereals and tubers,Maize (white),67,KG,actual,Retail,XAF,136.35,0.27
2005-01-15,Nord-Ouest,Mezam,Bamenda,2567,5.96,10.15,cereals and tubers,Maize (yellow),136,KG,actual,Retail,XAF,136.35,0.27
2005-01-15,Ouest,Mifi,Bafoussam,2566,5.48,10.42,cereals and tubers,Maize (white),67,KG,actual,Retail,XAF,253.23,0.51
2005-01-15,Ouest,Mifi,Bafoussam,2566,5.48,10.42,cereals and tubers,Maize (yellow),136,KG,actual,Retail,XAF,253.23,0.51
2005-02-15,Centre,Mfoundi,Yaoundé-Mfoundi,2613,3.86,11.52,cereals and tubers,Maize (white),67,KG,actual,Retail,XAF,154.11,0.31
2005-02-15,Centre,Mfoundi,Yaoundé-Mfoundi,2613,3.86,11.52,cereals and tubers,Maize (yellow),136,KG,actual,Retail,XAF,154.11,0.31
2005-02-15,Littoral,Wouri,Douala-Congo,2579,4.04,9.7,cereals and tubers,Maize (white),67,KG,actual,Retail,XAF,197.12,0.39
2005-02-15,Littoral,Wouri,Douala-Congo,2579,4.04,9.7,cereals and tubers,Maize (yellow),136,KG,actual,Retail,XAF,197.12,0.39
